# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m
15.07049,-0.98567,-7.27614,-3.11754,-0.77705,1.15000,1.12500
15.14572,-1.06090,-7.27583,3.11037,-0.69402,1.15000,1.12500
15.22226,-1.13732,-7.27149,3.06014,-0.62021,1.15000,1.12500
15.30005,-1.21468,-7.26335,3.01447,-0.55544,1.10000,1.10000
15.37899,-1.29276,-7.25169,2.97290,-0.49911,1.05000,1.05000
15.45896,-1.37131,-7.23675,2.93499,-0.45044,1.02500,1.02500
15.53977,-1.45011,-7.21878,2.90032,-0.40857,1.02500,1.05000
15.62126,-1.52891,-7.19803,2.86852,-0.37270,0.95000,1.02500
15.70320,-1.60748,-7.17477,2.83927,-0.34207,0.95000,1.00000
15.78538,-1.68559,-7.14923,2.81226,-0.31603,0.87500,1.00000
15.86754,-1.76299,-7.12167,2.78722,-0.29403,0.80000,1.00000
15.94944,-1.83946,-7.09235,2.76392,-0.27561,0.77500,0.92500
16.03081,-1.91476,-7.06152,2.74213,-0.26041,0.70000,0.87500
16.11137,-1.98865,-7.02941,2.72107,-0.27501,0.67500,0.85000
16.19100,-2.06096,-6.99608,2.69763,-0.31430,0.70000,0.82500
16.26967,-2.13157,-6.96137,2.67128,-0.35607,0.65000,0.82500
16.34741,-2.20035,-6.92515,2.64190,-0.40026,0.70000,0.77500
16.42422,-2.26717,-6.88727,2.60939,-0.44660,0.65000,0.77500
16.50017,-2.33193,-6.84759,2.57365,-0.49467,0.67500,0.77500
16.57531,-2.39448,-6.80596,2.53464,-0.54376,0.65000,0.77500
16.64974,-2.45472,-6.76225,2.49234,-0.59288,0.67500,0.75000
16.72357,-2.51251,-6.71630,2.44679,-0.64074,0.70000,0.77500
16.79696,-2.56774,-6.66797,2.39809,-0.68574,0.67500,0.80000
16.87007,-2.62028,-6.61712,2.34644,-0.72605,0.70000,0.75000
16.94312,-2.67000,-6.56360,2.29211,-0.75975,0.67500,0.75000
17.01635,-2.71679,-6.50728,2.23549,-0.78496,0.70000,0.75000
17.09001,-2.76052,-6.44800,2.17704,-0.80010,0.67500,0.70000
17.16439,-2.80107,-6.38564,2.11810,-0.77297,0.67500,0.70000
17.23959,-2.83835,-6.32034,2.06150,-0.73329,0.70000,0.70000
17.31554,-2.87229,-6.25239,2.00710,-0.70001,0.67500,0.62500
17.39218,-2.90283,-6.18210,1.95453,-0.67300,0.67500,0.65000
17.46941,-2.92990,-6.10976,1.90339,-0.65205,0.70000,0.60000
17.54714,-2.95342,-6.03568,1.85333,-0.63693,0.65000,0.62500
17.62524,-2.97333,-5.96016,1.80399,-0.62745,0.67500,0.60000
17.70360,-2.98956,-5.88351,1.75501,-0.62343,0.65000,0.57500
17.78209,-3.00205,-5.80601,1.70605,-0.62476,0.62500,0.55000
17.86061,-3.01072,-5.72798,1.65677,-0.63137,0.65000,0.60000
17.93902,-3.01551,-5.64971,1.60682,-0.64324,0.65000,0.57500
18.01723,-3.01634,-5.57150,1.55588,-0.66036,0.60000,0.57500
18.09513,-3.01315,-5.49367,1.50359,-0.68273,0.60000,0.57500
18.17267,-3.00592,-5.41647,1.45149,-0.65742,0.60000,0.60000
18.24997,-2.99480,-5.33997,1.40189,-0.62540,0.57500,0.60000
18.32715,-2.98003,-5.26421,1.35493,-0.59079,0.57500,0.57500
18.40433,-2.96182,-5.18922,1.31072,-0.55471,0.55000,0.60000
18.48157,-2.94040,-5.11501,1.26929,-0.51808,0.55000,0.62500
18.55891,-2.91599,-5.04162,1.23063,-0.48164,0.57500,0.67500
18.63639,-2.88881,-4.96906,1.19470,-0.44594,0.55000,0.70000
18.71399,-2.85910,-4.89738,1.16144,-0.41136,0.57500,0.70000
18.79169,-2.82707,-4.82658,1.13078,-0.37813,0.55000,0.72500
18.86946,-2.79294,-4.75670,1.10262,-0.34634,0.57500,0.67500
18.94723,-2.75694,-4.68777,1.07687,-0.31600,0.60000,0.67500
19.02492,-2.71930,-4.61980,1.05345,-0.28704,0.62500,0.67500
19.10246,-2.68023,-4.55283,1.03217,-0.26405,0.65000,0.67500
19.17982,-2.63988,-4.48682,1.01251,-0.24411,0.67500,0.65000
19.25704,-2.59838,-4.42170,0.99444,-0.22364,0.70000,0.65000
19.33415,-2.55581,-4.35740,0.97800,-0.20279,0.70000,0.65000
19.41118,-2.51230,-4.29384,0.96319,-0.18165,0.72500,0.65000
19.48814,-2.46794,-4.23095,0.95003,-0.16031,0.67500,0.62500
19.56505,-2.42284,-4.16866,0.93853,-0.13884,0.72500,0.65000
19.64190,-2.37711,-4.10689,0.92869,-0.11727,0.70000,0.65000
19.71871,-2.33085,-4.04557,0.92051,-0.09564,0.70000,0.65000
19.79548,-2.28417,-3.98464,0.91400,-0.07396,0.77500,0.65000
19.87219,-2.23717,-3.92400,0.90916,-0.05223,0.77500,0.65000
19.94885,-2.18996,-3.86360,0.90599,-0.03044,0.80000,0.65000
20.02546,-2.14265,-3.80335,0.90449,-0.00858,0.80000,0.70000
20.10199,-2.09534,-3.74319,0.90468,0.01338,0.80000,0.70000
20.17845,-2.04815,-3.68304,0.90654,0.03545,0.80000,0.70000
20.25482,-2.00116,-3.62282,0.91010,0.05766,0.87500,0.70000
20.33111,-1.95450,-3.56247,0.91535,0.08001,0.87500,0.70000
20.40730,-1.90826,-3.50192,0.92230,0.10252,0.87500,0.72500
20.48339,-1.86255,-3.44108,0.93096,0.12519,0.85000,0.72500
20.55939,-1.81749,-3.37989,0.94134,0.14799,0.80000,0.72500
20.63530,-1.77316,-3.31827,0.95344,0.17090,0.80000,0.70000
20.71112,-1.72969,-3.25614,0.96727,0.19386,0.80000,0.75000
20.78687,-1.68717,-3.19345,0.98283,0.21680,0.75000,0.72500
20.86258,-1.64572,-3.13010,1.00010,0.23961,0.75000,0.77500
20.93825,-1.60543,-3.06604,1.01909,0.26216,0.75000,0.75000
21.01394,-1.56642,-3.00118,1.03977,0.28429,0.70000,0.72500
21.08968,-1.52879,-2.93545,1.06213,0.30581,0.70000,0.75000
21.16552,-1.49265,-2.86878,1.08611,0.32650,0.70000,0.75000
21.24151,-1.45809,-2.80110,1.11167,0.34611,0.65000,0.75000
21.31772,-1.42524,-2.73233,1.13873,0.35978,0.67500,0.75000
21.39421,-1.39416,-2.66244,1.16594,0.35185,0.62500,0.70000
21.47097,-1.36488,-2.59149,1.19266,0.34459,0.57500,0.72500
21.54797,-1.33739,-2.51956,1.21894,0.33800,0.55000,0.70000
21.62521,-1.31172,-2.44671,1.24482,0.33208,0.52500,0.72500
21.70266,-1.28786,-2.37303,1.27033,0.32682,0.55000,0.70000
21.78029,-1.26582,-2.29859,1.29552,0.32223,0.52500,0.65000
21.85809,-1.24561,-2.22347,1.32043,0.31829,0.55000,0.65000
21.93602,-1.22723,-2.14773,1.34510,0.31501,0.52500,0.62500
22.01406,-1.21070,-2.07146,1.36958,0.31237,0.50000,0.60000
22.09219,-1.19602,-1.99472,1.39390,0.31039,0.52500,0.55000
22.17037,-1.18320,-1.91760,1.41812,0.30905,0.52500,0.57500
22.24858,-1.17223,-1.84017,1.44225,0.30835,0.55000,0.52500
22.32678,-1.16315,-1.76249,1.46636,0.30830,0.55000,0.50000
22.40495,-1.15594,-1.68466,1.49048,0.30890,0.52500,0.50000
22.48306,-1.15061,-1.60674,1.51465,0.31015,0.57500,0.50000
22.56107,-1.14718,-1.52880,1.53892,0.31205,0.57500,0.50000
22.63896,-1.14564,-1.45092,1.56332,0.31461,0.57500,0.50000
22.71670,-1.14602,-1.37318,1.58790,0.31784,0.57500,0.50000
22.79426,-1.14830,-1.29565,1.61270,0.32174,0.57500,0.50000
22.87162,-1.15251,-1.21841,1.63776,0.32633,0.57500,0.55000
22.94875,-1.15864,-1.14153,1.66313,0.33162,0.60000,0.55000
23.02562,-1.16671,-1.06508,1.68885,0.33761,0.60000,0.52500
23.10222,-1.17672,-0.98914,1.71496,0.34431,0.55000,0.52500
23.17851,-1.18868,-0.91378,1.74147,0.34675,0.57500,0.55000
23.25452,-1.20256,-0.83906,1.76727,0.33189,0.60000,0.55000
23.33029,-1.21827,-0.76493,1.79182,0.31598,0.60000,0.55000
23.40588,-1.23571,-0.69138,1.81507,0.29920,0.62500,0.52500
23.48133,-1.25476,-0.61838,1.83700,0.28172,0.60000,0.57500
23.55669,-1.27534,-0.54588,1.85755,0.26372,0.62500,0.55000
23.63199,-1.29734,-0.47387,1.87672,0.24532,0.60000,0.57500
23.70725,-1.32065,-0.40231,1.89448,0.22664,0.62500,0.55000
23.78250,-1.34518,-0.33117,1.91083,0.20780,0.60000,0.57500
23.85775,-1.37081,-0.26041,1.92575,0.18886,0.65000,0.57500
23.93302,-1.39745,-0.19002,1.93925,0.16989,0.62500,0.60000
24.00831,-1.42500,-0.11996,1.95133,0.15094,0.65000,0.57500
24.08361,-1.45335,-0.05019,1.96198,0.13203,0.62500,0.60000
24.15894,-1.48240,0.01931,1.97122,0.11318,0.60000,0.57500
24.23428,-1.51205,0.08857,1.97904,0.09440,0.62500,0.57500
24.30963,-1.54219,0.15762,1.98544,0.07567,0.57500,0.60000
24.38497,-1.57273,0.22651,1.99044,0.05699,0.60000,0.57500
24.46030,-1.60355,0.29524,1.99403,0.03832,0.57500,0.60000
24.53560,-1.63456,0.36386,1.99621,0.01966,0.57500,0.57500
24.61087,-1.66566,0.43240,1.99699,0.00095,0.60000,0.57500
24.68607,-1.69673,0.50089,1.99636,-0.01782,0.57500,0.55000
24.76121,-1.72769,0.56935,1.99431,-0.03670,0.55000,0.57500
24.83626,-1.75843,0.63782,1.99084,-0.05571,0.60000,0.52500
24.91122,-1.78883,0.70633,1.98595,-0.07488,0.57500,0.55000
24.98607,-1.81881,0.77491,1.97962,-0.09423,0.55000,0.52500
25.06080,-1.84826,0.84359,1.97185,-0.11379,0.57500,0.55000
25.13540,-1.87708,0.91241,1.96263,-0.13356,0.57500,0.50000
25.20987,-1.90517,0.98138,1.95258,-0.13394,0.57500,0.52500
25.28423,-1.93253,1.05052,1.94271,-0.13146,0.55000,0.55000
25.35851,-1.95919,1.11985,1.93304,-0.12881,0.57500,0.52500
25.43273,-1.98516,1.18938,1.92358,-0.12599,0.57500,0.55000
25.50690,-2.01047,1.25910,1.91435,-0.12302,0.57500,0.52500
25.58106,-2.03513,1.32904,1.90534,-0.11991,0.55000,0.55000
25.65523,-2.05917,1.39920,1.89657,-0.11666,0.57500,0.57500
25.72943,-2.08262,1.46960,1.88803,-0.11330,0.55000,0.57500
25.80367,-2.10548,1.54024,1.87975,-0.10982,0.55000,0.57500
25.87799,-2.12779,1.61113,1.87172,-0.10624,0.52500,0.60000
25.95240,-2.14957,1.68228,1.86395,-0.10257,0.52500,0.57500
26.02692,-2.17084,1.75370,1.85645,-0.09883,0.52500,0.60000
26.10158,-2.19161,1.82541,1.84921,-0.09502,0.55000,0.57500
26.17639,-2.21192,1.89741,1.84225,-0.09115,0.55000,0.60000
26.25136,-2.23178,1.96970,1.83556,-0.08724,0.52500,0.57500
26.32653,-2.25122,2.04231,1.82915,-0.08330,0.55000,0.62500
26.40190,-2.27025,2.11524,1.82302,-0.07933,0.57500,0.65000
26.47750,-2.28890,2.18851,1.81717,-0.07535,0.57500,0.62500
26.55334,-2.30719,2.26211,1.81161,-0.07137,0.55000,0.65000
26.62944,-2.32514,2.33606,1.80633,-0.06739,0.57500,0.65000
