#{"t_start": 1787521111.830546, "env_id": "None"}
r,l,t
22.97706,19,12615.685626
0.656785,6,12618.307998
213.230079,107,12637.119495
-5.210714,3,12640.382978
24.472618,15,12646.825448
-2.631333,6,12652.725503
-10.117154,2,12661.589298
116.350107,66,12678.539282
124.013076,78,12693.367715
125.478349,73,12706.258919
56.414629,35,12712.929766
205.565653,110,12731.685282
55.619207,34,12738.673652
278.575899,141,12762.589227
95.227416,57,12772.679683
152.377482,87,12786.948847
35.093301,23,12792.056128
432.378491,214,12828.657529
15.229015,17,12832.373434
117.407169,60,12844.306072
115.435772,63,12855.811435
5.5668,11,12858.681128
36.655305,26,12864.101439
21.577711,20,12868.597464
288.648395,145,12894.927358
78.438702,48,12903.500292
38.072281,30,12910.020908
119.705434,62,12922.452584
51.369295,35,12929.349587
279.24829,165,12952.257484
437.004086,244,12986.522836
2892.887731,1658,13200.933113
3173.976081,1800,13431.330154
541.660494,314,13472.756945
55.598425,40,13479.241597
3109.731579,1800,13709.127041
3033.670695,1715,13930.924664
3168.043923,1800,14160.590747
1832.65915,1042,14294.883938
3154.506531,1800,14524.164002
3116.200476,1800,14752.314607
3216.871689,1800,14984.866684
548.334415,313,15025.217883
1401.164056,792,15127.254359
417.537172,247,15160.060845
2596.200271,1496,15350.597779
3177.375646,1788,15581.732221
1026.22627,579,15656.823406
2741.183754,1539,15855.970608
3239.853172,1780,16087.539006
1566.140816,874,16201.071381
3222.634217,1800,16430.227652
75.081497,51,16437.55238
3237.702643,1800,16666.605667
1264.138826,712,16757.590782
2547.425311,1399,16937.796248
968.923887,569,17009.773196
711.793398,424,17064.051734
3273.083055,1800,17297.059234
3087.679804,1721,17518.693078
62.959508,39,17526.006994
210.420997,130,17543.340724
3268.083978,1800,17773.278761
3264.777492,1800,18005.183282
1828.753809,1020,18136.98915
3300.909155,1800,18367.862116
3264.103399,1790,18595.2743
136.713309,86,18607.271052
1261.261656,699,18696.580438
46.173672,34,18701.912392
919.047123,511,18767.674651
2116.773642,1158,18916.085625
3355.50266,1800,19147.743416
1268.502565,709,19239.381113
853.434655,486,19300.90321
1315.386776,736,19396.73361
3322.872799,1800,19627.741075
2580.480747,1416,19807.304189
2675.32078,1472,19995.925306
2297.246837,1268,20157.450082
2132.675097,1133,20304.368667
2401.24735,1289,20470.942319
277.201907,160,20492.491631
264.733542,159,20513.918721
1761.065289,958,20637.384464
3362.046096,1800,20869.48624
1355.759164,732,20965.359689
2050.824106,1105,21106.703429
2833.503893,1542,21305.697354
3246.829002,1734,21528.790518
3349.910938,1800,21757.816952
3435.306469,1800,21989.919817
3482.717795,1800,22226.152655
699.24057,375,22275.992041
1347.24559,731,22370.300847
1395.542376,745,22467.637382
3455.088307,1800,22699.738036
1713.196209,928,22817.925666
3462.938876,1800,23050.009643
2003.478968,1070,23189.256508
3448.833935,1800,23418.597342
3414.885643,1792,23651.165454
72.542931,55,23658.619477
1388.897129,747,23753.492903
662.257126,338,23799.398424
140.638442,81,23811.010761
1221.484239,645,23894.417692
3447.808671,1800,24125.76588
1841.07541,968,24251.036654
927.669115,496,24315.694196
3484.409287,1800,24551.109848
3454.613939,1800,24785.242436
1698.420468,893,24900.396467
3436.958007,1800,25129.576711
1263.569901,668,25216.817309
3468.854886,1800,25449.431194
3496.137186,1800,25681.705513
3465.185024,1800,25911.1306
3462.556008,1800,26140.927619
1510.549374,787,26244.036271
3477.403277,1800,26474.482522
543.197241,290,26512.042552
2105.665122,1115,26656.611986
3117.642993,1604,26862.504622
2393.741374,1265,27023.738284
414.406046,230,27053.002935
1708.279502,900,27167.676663
2354.434711,1216,27323.362473
3543.321703,1800,27558.41178
1264.581771,652,27644.239963
330.860037,182,27668.666674
1487.95723,770,27770.213907
2553.864917,1290,27940.40271
3603.866238,1800,28178.413448
3585.502803,1800,28412.969311
219.813443,120,28429.364
3676.761744,1800,28667.719755
3619.145065,1800,28903.602957
1359.956257,694,28995.282049
1672.594491,863,29109.232064
3614.527267,1800,29343.672714
3625.611616,1800,29579.393163
3464.044932,1766,29806.375591
3693.436238,1800,30049.212607
3638.258757,1800,30286.373792
209.574179,115,30301.955259
923.561819,472,30364.396008
550.266615,278,30402.466021
3264.795583,1616,30616.435413
2226.749588,1106,30763.873133
2763.639743,1349,30947.789876
2347.052,1170,31101.84346
2255.307755,1146,31249.976583
3386.720778,1641,31470.804658
3143.603883,1535,31673.48491
226.953535,126,31690.716907
2642.2635,1276,31861.720643
3663.544625,1800,32098.167803
863.928611,424,32154.404045
3655.355629,1800,32392.101145
3716.627107,1800,32630.300886
3709.476123,1800,32869.950377
908.898835,442,32931.034146
3741.595729,1800,33170.175166
754.074969,371,33219.886195
3740.842793,1800,33458.478969
368.612331,191,33484.365256
3722.972164,1800,33723.662836
3705.071665,1800,33962.406291
3670.712498,1800,34200.108325
820.36677,411,34254.857577
1598.59163,796,34360.020556
3778.102204,1800,34601.114187
644.7,309,34644.354144
-0.250345,10,34646.855103
3784.239334,1800,34887.327716
545.531076,269,34924.264719
3757.620619,1800,35162.631082
3748.274265,1800,35400.518229
3486.665065,1698,35623.770314
354.925829,170,35648.023074
3795.524927,1800,35888.203346
3757.604474,1800,36127.357651
926.738884,464,36189.750436
638.149106,319,36234.194831
259.502057,140,36253.673633
1576.495861,774,36357.929584
2641.053981,1261,36527.450839
2115.318161,1014,36664.09418
3804.742429,1800,36905.382745
1211.082244,588,36985.064836
2872.555101,1370,37169.12659
1436.764204,690,37262.386101
748.869182,384,37312.577919
990.73904,498,37378.300598
2840.319903,1349,37559.560777
3774.46862,1800,37800.552733
3831.834717,1800,38043.218434
3817.739922,1800,38281.718764
1214.912909,570,38360.115677
3692.952608,1742,38594.205842
349.592142,177,38618.637277
3062.797276,1452,38811.587894
3928.561455,1800,39054.182935
3815.692374,1800,39295.602396
2937.950617,1383,39480.669047
3366.372942,1566,39694.860534
413.791941,216,39722.658504
406.893271,203,39750.120467
70.390967,42,39756.841978
2059.43415,981,39890.033925
1547.214877,703,39987.571985
3819.203191,1800,40227.830977
1485.387051,698,40325.409603
121.671323,71,40335.563529
1270.142534,609,40418.121892
931.302771,459,40480.235237
1754.135909,829,40589.847279
3877.697342,1800,40830.304383
3899.689291,1800,41074.209296
1124.387243,523,41146.184221
3854.318695,1800,41386.220941
3948.670473,1800,41630.023441
3927.691454,1800,41874.356665
988.21747,443,41936.884885
627.207519,296,41978.012921
3987.220503,1800,42222.805006
63.279062,41,42229.328935
2345.647656,1071,42375.389325
3984.80814,1800,42619.464897
4026.920859,1800,42866.497446
973.946225,442,42928.249869
1132.129134,527,43000.396588
3631.482484,1642,43224.602786
1839.788373,826,43339.389608
2212.841548,983,43476.886251
347.812142,170,43501.241287
3998.287717,1800,43747.376948
2187.913805,997,43883.198714
4062.284384,1800,44133.257252
1507.705724,678,44227.598279
3995.014282,1800,44470.913641
4038.681414,1800,44717.161973
4034.484235,1800,44962.036524
211.572217,111,44977.809793
914.797551,404,45035.66477
1205.396078,541,45109.76876
2196.110916,962,45245.336835
408.92842,200,45273.108994
2817.469293,1268,45445.566504
1215.751354,541,45520.694669
4050.713378,1800,45762.387094
360.799083,165,45785.848377
754.023407,346,45833.46011
