# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.0825,0.5953,0.7088,0.7338
-3.0905,0.4497,0.6963,0.7338
-3.1072,0.3049,0.8088,0.7588
-3.1354,0.1618,0.8838,0.8088
-3.1788,0.0227,0.8962,0.8463
-3.2415,-0.1088,0.8838,0.8712
-3.3241,-0.2288,0.8838,0.8962
-3.4228,-0.3360,0.8838,1.0212
-3.5337,-0.4307,0.9212,1.1587
-3.6530,-0.5145,0.9587,1.2962
-3.7780,-0.5896,2.8650,1.5088
-3.9067,-0.6580,2.8650,1.6963
-4.0375,-0.7226,2.8650,1.8337
-4.1684,-0.7869,2.8650,1.9587
-4.2973,-0.8550,2.8650,1.9837
-4.4228,-0.9294,2.8650,2.1212
-4.5573,-0.9837,2.8650,2.7588
-4.7013,-0.9719,1.5337,2.8650
-4.8347,-0.9137,1.4463,2.3338
-4.9516,-0.8271,2.8650,1.5713
-5.0456,-0.7159,2.8650,1.1587
-5.1146,-0.5877,2.8650,1.0212
-5.1627,-0.4501,2.8650,0.9087
-5.1960,-0.3082,2.8650,0.8588
-5.2203,-0.1644,2.8650,0.8213
-5.2405,-0.0200,2.8650,0.8088
-5.2596,0.1246,2.8650,0.7838
-5.2777,0.2693,0.9463,0.8088
-5.2949,0.4141,0.8962,0.7963
-5.3115,0.5590,0.8588,0.7838
-5.3274,0.7040,0.8838,0.7588
-5.3429,0.8490,0.8962,0.7963
-5.3581,0.9941,0.8588,0.7838
-5.3731,1.1391,0.8712,0.7713
-5.3881,1.2842,0.8338,0.7463
-5.4032,1.4292,0.8588,0.7338
-5.4185,1.5743,0.8213,0.7713
-5.4342,1.7193,0.8338,0.7588
-5.4502,1.8642,0.8463,0.7463
-5.4666,2.0091,0.8213,0.7713
-5.4832,2.1540,0.8338,0.7588
-5.5000,2.2989,0.7963,0.7463
-5.5169,2.4437,0.8213,0.7213
-5.5338,2.5886,0.7838,0.7588
-5.5507,2.7335,0.7963,0.7463
-5.5674,2.8783,0.7713,0.7213
-5.5839,3.0232,0.7838,0.7088
-5.6002,3.1682,0.7963,0.7463
-5.6161,3.3131,0.7713,0.7213
-5.6316,3.4581,0.7838,0.7088
-5.6466,3.6032,0.7463,0.6963
-5.6611,3.7483,0.7588,0.7338
-5.6749,3.8935,0.7213,0.7088
-5.6880,4.0388,0.7338,0.6963
-5.7004,4.1841,0.7463,0.6838
-5.7120,4.3294,0.7088,0.6713
-5.7227,4.4749,0.7213,0.7088
-5.7325,4.6204,0.6838,0.7088
-5.7413,4.7660,0.7338,0.6963
-5.7490,4.9116,0.7463,0.6838
-5.7557,5.0573,0.7463,0.7338
-5.7612,5.2030,0.7588,0.7213
-5.7653,5.3488,0.8088,0.7213
-5.7676,5.4946,0.8088,0.7213
-5.7677,5.6405,0.8588,0.7713
-5.7654,5.7863,0.8588,0.7713
-5.7600,5.9320,0.9087,0.7713
-5.7513,6.0776,0.9212,0.7838
-5.7387,6.2229,0.9337,0.8463
-5.7216,6.3677,0.9712,0.8712
-5.6994,6.5118,0.9587,0.8962
-5.6715,6.6550,0.9962,0.9337
-5.6371,6.7967,1.0088,0.9337
-5.5955,6.9364,1.0462,0.9463
-5.5465,7.0738,1.0337,0.9587
-5.4899,7.2082,1.0962,0.9962
-5.4262,7.3393,1.0588,1.0462
-5.3557,7.4670,1.0588,1.0337
-5.2792,7.5911,1.0713,1.0462
-5.1974,7.7118,1.0588,1.0588
-5.1103,7.8288,1.1213,1.0337
-5.0173,7.9411,1.1338,1.0713
-4.9174,8.0473,1.1213,1.0837
-4.8093,8.1452,1.1087,1.1462
-4.6921,8.2318,1.1087,1.1963
-4.5648,8.3028,1.1338,1.1838
