#{"t_start": 1787588238.8745835, "env_id": "None"}
r,l,t
48.862297,67,2430.949409
45.775891,56,2435.058319
47.215419,68,2439.784549
45.414895,61,2444.006416
41.914634,61,2448.225524
45.104025,58,2452.515563
41.487417,66,2457.201044
44.120182,71,2462.115553
43.209974,62,2466.442781
45.712457,62,2470.82859
37.821473,61,2475.068996
46.764442,66,2479.735292
44.852099,56,2483.886794
47.759854,65,2488.362787
48.13174,65,2492.894718
42.342464,63,2497.2202
47.478922,72,2502.019444
50.751904,65,2506.458802
45.985011,66,2510.970604
46.116197,61,2515.247
44.649134,63,2519.578637
45.769228,72,2524.465686
50.951527,63,2528.846073
19.042162,40,2532.119081
43.541017,62,2536.390759
44.095327,62,2540.745574
45.419316,62,2545.011899
45.298743,61,2549.294711
41.621601,65,2553.691945
48.725156,68,2558.375428
44.205316,65,2562.881174
43.587933,63,2567.302517
43.162565,67,2571.912024
43.4007,62,2576.172693
49.03933,64,2580.623875
51.186296,63,2585.16151
42.341496,63,2589.514439
44.595271,63,2593.930102
42.717928,63,2598.374934
44.906104,69,2603.162902
40.201492,61,2607.391968
45.57592,60,2611.623411
48.915227,68,2616.337473
50.10361,72,2621.21749
48.271329,67,2625.84057
41.383251,64,2630.324529
34.831603,66,2634.9827
49.139559,73,2639.869974
49.268099,65,2644.354227
44.89361,59,2648.616418
35.536453,61,2652.773911
37.401553,61,2657.056568
37.668977,56,2661.209567
48.467586,64,2665.872679
42.692366,63,2670.280418
49.954909,61,2674.695108
45.453564,57,2678.868214
43.554969,66,2683.302473
39.206958,58,2687.454498
47.422649,65,2691.965422
40.106066,55,2696.119392
48.122757,60,2700.400825
39.005352,56,2704.592893
44.648868,61,2708.875775
44.032903,60,2713.214355
47.121183,66,2717.823156
43.945296,59,2722.107568
46.106291,67,2726.763683
40.901719,64,2731.324542
44.383683,61,2735.700119
49.946909,65,2740.188513
41.64429,71,2745.187207
46.526471,67,2749.852488
-3.113381,22,2751.880604
46.318892,68,2756.65433
-5.191443,27,2759.145967
45.671488,60,2763.339288
43.714156,61,2767.618379
45.872205,58,2771.954332
45.188383,57,2776.126475
39.536807,56,2780.236313
46.274128,58,2784.345184
43.043761,62,2788.689438
45.423366,68,2793.409472
45.766097,61,2797.703359
45.867638,73,2802.540504
46.911175,67,2807.245327
48.798199,64,2811.665669
39.178532,59,2815.762767
45.689786,70,2820.503002
44.580699,60,2824.695359
37.07208,53,2828.70759
44.667052,61,2832.971501
38.591776,56,2837.031436
43.007975,60,2841.305583
38.402814,59,2845.542115
41.589377,61,2849.866596
44.096539,64,2854.420112
46.173891,59,2858.538435
26.065271,45,2862.091041
47.506154,69,2866.699372
38.736303,71,2871.676955
47.093772,67,2876.277438
43.476324,63,2880.721386
45.039422,58,2884.900555
40.519009,69,2889.709732
49.306191,64,2894.332958
43.541147,67,2899.123511
49.39832,67,2903.620506
46.340207,56,2907.850508
44.917415,62,2912.270275
47.546734,67,2917.013465
41.268539,70,2921.84349
50.140112,67,2926.58623
51.558108,64,2931.074589
44.668172,57,2935.308461
48.458472,65,2939.974814
49.018034,67,2944.582626
46.009241,57,2948.824375
37.598688,58,2953.011785
42.630815,62,2957.47009
42.17182,59,2961.722465
51.334197,63,2966.115525
40.694922,67,2970.746734
47.676549,71,2975.542621
38.063576,56,2979.647479
50.408237,61,2983.998847
45.991743,60,2988.183638
43.488641,61,2992.576442
41.32813,62,2996.930668
45.188393,61,3001.205336
34.801996,74,3006.314531
42.583349,61,3010.583869
46.304228,74,3015.657596
46.438638,62,3019.879042
42.046758,61,3024.272846
49.978578,64,3028.780536
38.899071,58,3032.993497
44.585913,61,3037.266105
42.882487,63,3041.716689
48.175956,66,3046.262595
37.369366,58,3050.351652
47.861219,66,3055.02256
51.268778,67,3059.639428
44.82351,59,3063.861472
45.590903,58,3068.039563
43.276613,66,3072.775021
48.623702,64,3077.256527
44.112969,64,3081.785317
48.608047,65,3086.29548
19.07103,41,3089.456791
50.972268,70,3094.304964
45.57091,67,3098.970779
51.979561,72,3104.009705
45.731763,55,3108.229549
43.215568,62,3112.677847
33.710082,58,3116.768626
48.951871,67,3121.433462
48.117328,69,3126.034963
46.188173,60,3130.365702
48.81797,67,3135.128538
45.195536,71,3140.064677
45.859081,67,3144.666028
43.994645,60,3148.936549
42.468187,64,3153.442822
42.717403,67,3158.057912
43.752769,64,3162.507369
47.562748,70,3167.267731
43.936279,60,3171.504091
42.581983,69,3176.527601
43.386833,72,3181.479655
47.432981,63,3186.067079
45.095227,63,3190.820786
45.553854,60,3195.076881
44.397037,63,3199.41455
44.913153,61,3203.676461
48.750286,64,3208.112652
47.85235,64,3212.742507
48.825779,66,3217.281609
46.654351,62,3221.504368
37.628498,58,3225.667499
44.592505,65,3230.312747
48.529009,64,3234.876133
44.98436,59,3239.209909
44.162626,75,3244.263108
46.267581,59,3248.616034
49.825737,67,3253.121617
44.800627,63,3257.593491
46.976604,60,3261.818501
40.76028,55,3265.928961
46.571141,57,3270.050747
38.027963,56,3274.174858
37.800105,60,3278.297543
46.791072,60,3282.463084
48.506345,67,3287.13468
43.322066,69,3291.959587
44.299941,64,3296.320057
46.775989,60,3300.428423
47.469965,71,3305.320568
45.681135,63,3309.599886
46.184476,56,3313.722955
45.010339,61,3318.03847
39.996814,53,3321.939454
43.396843,62,3326.325482
41.12875,65,3330.804179
50.325939,67,3335.482827
46.760093,68,3340.140405
48.811901,68,3344.763512
46.738953,57,3348.928439
44.341668,54,3353.023887
44.347743,63,3357.354485
46.504797,70,3362.021092
49.525292,64,3366.450308
47.93657,65,3371.280244
46.108464,59,3375.493431
45.058927,68,3380.268585
46.545057,60,3384.448361
45.936468,60,3388.681741
45.894444,57,3392.848256
46.256294,58,3397.087848
36.273378,58,3401.129645
42.858066,71,3405.890399
38.653018,56,3409.979634
44.524944,61,3414.32454
45.617896,63,3418.62401
44.699907,64,3423.009431
40.489326,65,3427.576615
45.892878,61,3431.902199
46.143792,58,3436.058483
45.854071,59,3440.292429
45.144461,60,3444.623663
45.947414,63,3448.963424
44.444834,63,3453.301998
45.460299,65,3457.743568
40.38618,60,3461.874728
49.835031,65,3466.462698
42.059799,67,3471.037472
46.070259,62,3475.382847
44.395778,60,3479.611641
46.182672,75,3484.615695
44.483075,69,3489.389525
37.35062,51,3493.320312
45.405639,61,3497.532607
45.575186,56,3501.759526
43.994971,60,3506.092667
1.99261,29,3508.646507
43.348085,61,3513.048328
45.343632,63,3517.427371
44.441428,60,3521.619484
42.893713,62,3525.952038
45.101206,62,3530.316648
44.037843,68,3535.120477
44.844377,62,3539.611787
46.938924,67,3544.283123
44.01353,64,3548.725673
51.392105,62,3553.098662
43.635613,59,3557.291435
37.314191,57,3561.567804
41.63025,62,3565.851116
47.175024,57,3569.978333
45.419571,59,3574.201613
42.97082,65,3578.591781
46.500551,66,3583.281633
19.750493,44,3586.566791
45.829701,59,3590.729769
44.753274,61,3594.993827
42.935741,62,3599.274201
48.465073,63,3603.710088
46.471768,55,3607.758845
44.258393,61,3612.151595
40.994415,57,3616.231549
43.708571,60,3620.509458
46.438344,63,3624.784764
43.390854,64,3629.177806
47.619029,60,3633.34382
43.383068,62,3637.773848
49.501054,68,3642.611611
43.323835,58,3646.900566
44.951264,61,3651.122595
46.057569,69,3655.862779
49.557487,66,3660.368295
47.377699,59,3664.54661
46.512672,56,3668.537152
44.89983,71,3673.327417
46.720312,60,3677.679493
46.581493,58,3681.857554
47.105355,54,3685.913157
46.101265,71,3690.68753
42.151832,66,3695.226974
45.534635,61,3699.52484
44.667208,59,3703.835337
45.262415,58,3708.062985
42.026189,64,3712.727141
48.116298,71,3717.620553
48.873513,71,3722.576548
48.50016,57,3726.660777
45.524288,61,3730.931532
50.666788,66,3735.584696
39.141699,54,3739.667181
50.229079,70,3744.380656
48.036586,66,3749.073388
45.035247,59,3753.335628
51.569707,73,3758.201487
44.316714,61,3762.476568
45.681936,58,3766.649077
44.408546,62,3771.105741
45.057297,61,3775.339511
47.067981,71,3780.136322
46.162685,60,3784.390912
47.816251,70,3789.11987
42.780129,60,3793.428576
39.415749,58,3797.514928
46.421823,59,3801.744569
31.603515,66,3806.354922
45.464135,60,3810.57562
46.141576,65,3815.343084
46.293417,56,3819.495538
49.672863,65,3824.049078
44.365426,59,3828.332632
50.369933,66,3832.836741
40.986167,65,3837.340717
42.058329,63,3841.757864
45.5747,62,3846.031541
49.504329,63,3850.496211
46.147589,65,3855.113183
44.975614,58,3859.297227
45.473034,62,3863.567156
44.937887,63,3867.955612
45.006635,61,3872.229295
47.423521,68,3876.956535
47.500694,59,3881.01175
44.50505,63,3885.460218
44.238864,57,3889.469035
41.300036,60,3894.054474
46.455481,59,3898.288983
47.469278,65,3902.997306
9.538161,32,3905.646752
47.278075,59,3909.708833
50.447309,66,3914.260649
37.403578,60,3918.545215
39.319092,58,3922.645989
39.282324,56,3926.771393
50.425654,65,3931.621883
39.542786,67,3936.24128
44.946825,62,3940.513566
48.729554,63,3944.98428
47.660654,67,3949.640795
46.290373,58,3953.805835
