# x_m,y_m,w_tr_right_m,w_tr_left_m,s_m,kappa_radpm
3.5505,-1.3370,0.7100,0.6500,21.7000,0.3519
3.4760,-1.4037,0.6900,0.6600,21.8000,0.3541
3.4040,-1.4730,0.7000,0.6700,21.9000,0.3545
3.3344,-1.5449,0.6900,0.6600,22.0000,0.3539
3.2675,-1.6192,0.7100,0.6500,22.1000,0.3526
3.2032,-1.6957,0.7000,0.6400,22.2000,0.3511
3.1416,-1.7745,0.7300,0.6400,22.3000,0.3496
3.0828,-1.8554,0.7500,0.6300,22.4000,0.3482
3.0269,-1.9383,0.7700,0.6100,22.5000,0.3470
2.9739,-2.0231,0.7700,0.5800,22.6000,0.3458
2.9238,-2.1097,0.7600,0.5900,22.7000,0.3444
2.8768,-2.1979,0.7800,0.5900,22.8000,0.3428
2.8327,-2.2877,0.7900,0.5700,22.9000,0.3405
2.7918,-2.3789,0.8000,0.5600,23.0000,0.3372
2.7540,-2.4715,0.8100,0.5600,23.1000,0.3327
2.7193,-2.5653,0.8300,0.5400,23.2000,0.3267
2.6876,-2.6601,0.8700,0.5400,23.3000,0.3189
2.6590,-2.7559,0.8600,0.5600,23.4000,0.3092
2.6334,-2.8526,0.8200,0.5800,23.5000,0.2976
2.6107,-2.9500,0.7900,0.6000,23.6000,0.2842
2.5907,-3.0479,0.7700,0.6200,23.7000,0.2689
2.5734,-3.1464,0.7500,0.6300,23.8000,0.2520
2.5585,-3.2453,0.7300,0.6500,23.9000,0.2337
2.5460,-3.3445,0.7200,0.6600,24.0000,0.2143
2.5356,-3.4440,0.7000,0.6700,24.1000,0.1942
2.5272,-3.5436,0.6900,0.6700,24.2000,0.1738
2.5204,-3.6434,0.6900,0.6800,24.3000,0.1533
2.5152,-3.7433,0.6800,0.6800,24.4000,0.1331
2.5113,-3.8432,0.6800,0.6900,24.5000,0.1136
2.5086,-3.9432,0.6700,0.6900,24.6000,0.0951
2.5068,-4.0431,0.6700,0.6900,24.7000,0.0778
2.5058,-4.1431,0.6700,0.6900,24.8000,0.0619
2.5054,-4.2431,0.6700,0.6900,24.9000,0.0476
2.5055,-4.3431,0.6700,0.6900,25.0000,0.0349
2.5060,-4.4431,0.6700,0.6900,25.1000,0.0239
2.5066,-4.5431,0.6700,0.6900,25.2000,0.0145
2.5075,-4.6431,0.6700,0.6900,25.3000,0.0066
2.5084,-4.7431,0.6700,0.6900,25.4000,0.0002
2.5093,-4.8431,0.6800,0.6900,25.5000,-0.0048
2.5101,-4.9431,0.6800,0.6900,25.6000,-0.0088
2.5108,-5.0431,0.6800,0.6900,25.7000,-0.0117
2.5115,-5.1431,0.6800,0.6900,25.8000,-0.0138
2.5120,-5.2431,0.6800,0.6900,25.9000,-0.0152
2.5123,-5.3431,0.6800,0.6600,26.0000,-0.0160
2.5125,-5.4431,0.6800,0.6600,26.1000,-0.0163
2.5126,-5.5431,0.6800,0.6600,26.2000,-0.0162
2.5124,-5.6431,0.6800,0.6600,26.3000,-0.0157
2.5121,-5.7431,0.6800,0.6900,26.4000,-0.0148
2.5117,-5.8431,0.6800,0.6900,26.5000,-0.0133
2.5111,-5.9431,0.6800,0.6900,26.6000,-0.0113
2.5104,-6.0431,0.6800,0.6900,26.7000,-0.0085
2.5096,-6.1431,0.6800,0.6900,26.8000,-0.0050
2.5088,-6.2431,0.6700,0.6900,26.9000,-0.0004
2.5080,-6.3431,0.6700,0.6900,27.0000,0.0054
2.5072,-6.4431,0.6700,0.6900,27.1000,0.0124
2.5066,-6.5431,0.6700,0.6900,27.2000,0.0208
2.5061,-6.6431,0.6700,0.6900,27.3000,0.0308
2.5060,-6.7431,0.6700,0.6900,27.4000,0.0423
2.5063,-6.8431,0.6700,0.6900,27.5000,0.0554
2.5071,-6.9431,0.6700,0.6900,27.6000,0.0700
2.5087,-7.0431,0.6700,0.6900,27.7000,0.0860
2.5111,-7.1430,0.6800,0.6900,27.8000,0.1033
2.5145,-7.2430,0.6800,0.6900,27.9000,0.1216
2.5192,-7.3429,0.6900,0.6800,28.0000,0.1408
