# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m
28.67282,0.79139,-12.43556,1.57006,-0.00103,0.69063,0.65938
28.78797,0.79149,-12.32041,1.56995,-0.00082,0.69063,0.65938
28.90312,0.79159,-12.20526,1.56987,-0.00061,0.69063,0.65938
29.01827,0.79170,-12.09011,1.56981,-0.00040,0.69063,0.65938
29.13342,0.79181,-11.97496,1.56978,-0.00019,0.68437,0.66563
29.24857,0.79193,-11.85980,1.56977,0.00002,0.68437,0.66563
29.36373,0.79205,-11.74465,1.56978,0.00023,0.68437,0.66563
29.47888,0.79217,-11.62950,1.56982,0.00043,0.68437,0.66563
29.59403,0.79228,-11.51435,1.56988,0.00064,0.68437,0.66563
29.70918,0.79238,-11.39920,1.56997,0.00085,0.68437,0.66563
29.82433,0.79247,-11.28404,1.57008,0.00106,0.68437,0.66563
29.93949,0.79254,-11.16889,1.57021,0.00126,0.68437,0.66563
30.05464,0.79260,-11.05374,1.57037,0.00151,0.68437,0.66563
30.16979,0.79264,-10.93859,1.57054,0.00151,0.68437,0.66563
30.28494,0.79266,-10.82344,1.57071,0.00139,0.68437,0.66563
30.40009,0.79266,-10.70828,1.57086,0.00130,0.68437,0.66563
30.51525,0.79265,-10.59313,1.57101,0.00120,0.68437,0.66563
30.63040,0.79261,-10.47798,1.57114,0.00110,0.68437,0.66563
30.74555,0.79257,-10.36283,1.57126,0.00101,0.68437,0.66563
30.86070,0.79251,-10.24768,1.57137,0.00091,0.68437,0.66563
30.97585,0.79243,-10.13252,1.57147,0.00081,0.68437,0.66563
31.09101,0.79235,-10.01737,1.57156,0.00071,0.68437,0.66563
31.20616,0.79226,-9.90222,1.57163,0.00061,0.68437,0.66563
31.32131,0.79216,-9.78707,1.57170,0.00051,0.68437,0.66563
31.43646,0.79205,-9.67192,1.57175,0.00041,0.68437,0.66563
31.55161,0.79194,-9.55676,1.57179,0.00031,0.68437,0.66563
31.66677,0.79182,-9.44161,1.57182,0.00021,0.68437,0.66563
31.78192,0.79170,-9.32646,1.57184,0.00011,0.69063,0.65938
31.89707,0.79158,-9.21131,1.57185,0.00001,0.69063,0.65938
32.01222,0.79146,-9.09616,1.57184,-0.00009,0.69063,0.65938
32.12737,0.79134,-8.98100,1.57183,-0.00019,0.69063,0.65938
32.24253,0.79122,-8.86585,1.57180,-0.00029,0.69063,0.65938
32.35768,0.79111,-8.75070,1.57176,-0.00039,0.69063,0.65938
32.47283,0.79100,-8.63555,1.57171,-0.00049,0.69063,0.65938
32.58798,0.79090,-8.52040,1.57165,-0.00059,0.69063,0.65938
32.70313,0.79081,-8.40524,1.57157,-0.00069,0.69063,0.65938
32.81829,0.79072,-8.29009,1.57149,-0.00079,0.69063,0.65938
32.93344,0.79065,-8.17494,1.57139,-0.00089,0.69063,0.65938
33.04859,0.79059,-8.05979,1.57128,-0.00099,0.69063,0.65938
33.16374,0.79054,-7.94464,1.57116,-0.00109,0.69063,0.65938
33.27889,0.79050,-7.82948,1.57103,-0.00119,0.69063,0.65938
33.39405,0.79048,-7.71433,1.57088,-0.00129,0.69063,0.65938
33.50920,0.79048,-7.59918,1.57073,-0.00139,0.69063,0.65938
33.62435,0.79050,-7.48403,1.57056,-0.00149,0.69063,0.65938
33.73950,0.79054,-7.36888,1.57039,-0.00159,0.69063,0.65938
33.85465,0.79059,-7.25373,1.57020,-0.00169,0.69063,0.65938
33.96981,0.79067,-7.13857,1.57000,-0.00179,0.69063,0.65938
34.08496,0.79078,-7.02342,1.56979,-0.00189,0.69063,0.65938
34.20011,0.79091,-6.90827,1.56956,-0.00199,0.69063,0.65938
34.31526,0.79106,-6.79312,1.56933,-0.00208,0.69063,0.65938
34.43041,0.79124,-6.67797,1.56908,-0.00218,0.69063,0.65938
34.54557,0.79146,-6.56281,1.56883,-0.00228,0.69063,0.65938
34.66072,0.79170,-6.44766,1.56856,-0.00237,0.69063,0.65938
34.77587,0.79197,-6.33251,1.56828,-0.00247,0.68437,0.66563
34.89102,0.79228,-6.21736,1.56799,-0.00257,0.68437,0.66563
35.00617,0.79262,-6.10221,1.56769,-0.00266,0.68437,0.66563
35.12133,0.79299,-5.98706,1.56738,-0.00277,0.68437,0.66563
35.23648,0.79341,-5.87190,1.56705,-0.00279,0.68437,0.66563
35.35163,0.79386,-5.75675,1.56674,-0.00317,0.68437,0.66563
35.46678,0.79434,-5.64160,1.56659,-0.00017,0.68437,0.66563
35.58193,0.79483,-5.52645,1.56678,0.00345,0.68437,0.66563
35.69709,0.79527,-5.41130,1.56737,0.00691,0.68437,0.66563
35.81224,0.79561,-5.29615,1.56837,0.01044,0.68437,0.66563
35.92739,0.79582,-5.18100,1.56978,0.01397,0.68437,0.66563
36.04254,0.79585,-5.06585,1.57160,0.01762,0.68437,0.66563
36.15769,0.79564,-4.95069,1.57383,0.02108,0.68437,0.66563
36.27285,0.79515,-4.83554,1.57649,0.02554,0.68437,0.66563
36.38800,0.79433,-4.72039,1.57959,0.02658,0.68437,0.66563
36.50315,0.79312,-4.60525,1.58313,0.04082,0.68437,0.66563
36.61830,0.79149,-4.49011,1.58730,0.00630,0.69063,0.65938
36.73345,0.78932,-4.37498,1.60343,0.17270,0.69063,0.65938
36.84860,0.78397,-4.25996,1.66296,0.74365,0.69688,0.65938
36.96376,0.76816,-4.14598,1.79422,1.61826,0.72366,0.65144
37.07889,0.73319,-4.03649,1.96712,1.73648,0.69239,0.61643
37.19405,0.67970,-3.93460,2.09001,0.55856,0.61014,0.56294
37.30920,0.61903,-3.83673,2.11084,-0.24365,0.54707,0.50226
37.42435,0.56131,-3.73712,2.03865,-1.13643,0.49954,0.44454
37.53950,0.51540,-3.63162,1.91388,-1.19513,0.46269,0.39867
37.65465,0.48407,-3.52090,1.78096,-1.12055,0.43738,0.36563
37.76980,0.46749,-3.40703,1.64852,-1.15951,0.41563,0.34063
37.88495,0.46625,-3.29197,1.51005,-1.22451,0.42795,0.34063
38.00011,0.48142,-3.17793,1.35942,-1.41234,0.44028,0.35938
38.11525,0.51436,-3.06773,1.20760,-1.38652,0.46391,0.39763
38.23040,0.56296,-2.96340,1.09680,-0.63645,0.49806,0.44619
38.34556,0.61938,-2.86303,1.05791,-0.04067,0.54710,0.50261
38.46071,0.67596,-2.76275,1.09374,0.71539,0.61394,0.55919
38.57586,0.72502,-2.65863,1.18457,1.00185,0.69905,0.60827
38.69101,0.76255,-2.54982,1.29238,0.92797,0.72933,0.64589
38.80616,0.78820,-2.43762,1.39511,0.88322,0.70312,0.67143
38.92131,0.80273,-2.32342,1.48220,0.65812,0.67812,0.67812
39.03646,0.80856,-2.20844,1.54636,0.44716,0.67188,0.67812
39.15162,0.80836,-2.09330,1.58882,0.27948,0.67188,0.67812
39.26677,0.80441,-1.97821,1.61292,0.13420,0.67812,0.67812
39.38192,0.79866,-1.86321,1.62066,-0.00402,0.68437,0.67188
39.49707,0.79293,-1.74820,1.61479,-0.12410,0.68437,0.66563
39.61222,0.78853,-1.63313,1.60284,-0.10492,0.69063,0.65938
39.72738,0.78555,-1.51802,1.59115,-0.09682,0.69688,0.65938
39.84253,0.78384,-1.40288,1.58072,-0.08491,0.69688,0.65312
39.95768,0.78326,-1.28773,1.57162,-0.07329,0.69688,0.65312
40.07283,0.78365,-1.17258,1.56390,-0.06095,0.69688,0.65312
40.18798,0.78485,-1.05743,1.55762,-0.04828,0.69688,0.65312
40.30314,0.78669,-0.94229,1.55281,-0.03526,0.69063,0.65938
40.41829,0.78899,-0.82717,1.54952,-0.02206,0.69063,0.65938
40.53344,0.79159,-0.71204,1.54775,-0.00856,0.69063,0.65938
40.64859,0.79430,-0.59692,1.54753,0.00444,0.68437,0.66563
40.76374,0.79695,-0.48180,1.54881,0.01945,0.68437,0.66563
40.87890,0.79936,-0.36667,1.55107,0.02281,0.67812,0.67188
40.99405,0.80149,-0.25154,1.55349,0.01991,0.67812,0.67188
41.10920,0.80335,-0.13641,1.55571,0.01851,0.67812,0.67188
41.22435,0.80496,-0.02126,1.55774,0.01673,0.67188,0.67812
41.33950,0.80635,0.09388,1.55957,0.01507,0.67188,0.67812
41.45466,0.80755,0.20902,1.56121,0.01340,0.67188,0.67812
41.56981,0.80856,0.32417,1.56266,0.01174,0.67188,0.67812
41.68496,0.80942,0.43932,1.56392,0.01009,0.67188,0.67812
41.80011,0.81015,0.55447,1.56498,0.00845,0.67188,0.67812
41.91526,0.81076,0.66962,1.56586,0.00682,0.66563,0.68437
42.03041,0.81128,0.78477,1.56655,0.00519,0.66563,0.67735
42.14557,0.81174,0.89992,1.56706,0.00357,0.66563,0.65938
42.26072,0.81214,1.01507,1.56738,0.00194,0.66563,0.65938
42.37587,0.81252,1.13023,1.56751,0.00032,0.67948,0.65938
42.49102,0.81290,1.24538,1.56745,-0.00129,0.69063,0.65938
42.60617,0.81330,1.36053,1.56721,-0.00291,0.69063,0.65938
42.72133,0.81373,1.47568,1.56678,-0.00454,0.69063,0.65938
42.83648,0.81422,1.59083,1.56616,-0.00616,0.69063,0.65938
42.95163,0.81480,1.70598,1.56536,-0.00780,0.69063,0.65938
43.06678,0.81547,1.82113,1.56437,-0.00942,0.69063,0.67887
