# x_m,y_m,w_tr_right_m,w_tr_left_m
0.6760,-2.7627,0.4789,0.4242
0.7250,-2.6586,0.5640,0.4733
0.7625,-2.5498,0.5943,0.5109
0.7882,-2.4376,0.5681,0.5364
0.8027,-2.3234,0.5431,0.5431
0.8086,-2.2084,0.5369,0.5431
0.8084,-2.0933,0.5369,0.5431
0.8044,-1.9782,0.5431,0.5431
0.7987,-1.8632,0.5494,0.5369
0.7929,-1.7482,0.5494,0.5306
0.7885,-1.6331,0.5556,0.5244
0.7855,-1.5180,0.5619,0.5244
0.7838,-1.4029,0.5619,0.5181
0.7833,-1.2877,0.5619,0.5181
0.7837,-1.1726,0.5619,0.5181
0.7849,-1.0574,0.5619,0.5181
0.7867,-0.9423,0.5556,0.5244
0.7890,-0.8272,0.5556,0.5244
0.7916,-0.7120,0.5556,0.5244
0.7943,-0.5969,0.5494,0.5306
0.7969,-0.4818,0.5494,0.5306
0.7994,-0.3667,0.5431,0.5369
0.8015,-0.2515,0.5431,0.5369
0.8033,-0.1364,0.5431,0.5369
0.8050,-0.0213,0.5369,0.5431
0.8064,0.0939,0.5369,0.5431
0.8075,0.2090,0.5369,0.5431
0.8086,0.3242,0.5369,0.5431
0.8094,0.4393,0.5369,0.5431
0.8101,0.5545,0.5369,0.5431
0.8108,0.6696,0.5306,0.5494
0.8113,0.7848,0.5306,0.5423
0.8117,0.8999,0.5306,0.5244
0.8121,1.0151,0.5306,0.5244
0.8125,1.1302,0.5445,0.5244
0.8129,1.2454,0.5556,0.5244
0.8133,1.3605,0.5556,0.5244
0.8137,1.4757,0.5556,0.5244
0.8142,1.5908,0.5556,0.5244
0.8148,1.7060,0.5556,0.5244
0.8155,1.8211,0.5556,0.5439
0.8163,1.9363,0.5556,0.5494
0.8172,2.0514,0.5494,0.5556
0.8183,2.1666,0.5494,0.5556
0.8196,2.2817,0.5494,0.5556
0.8211,2.3969,0.5494,0.5556
0.8225,2.5120,0.5494,0.5556
0.8237,2.6272,0.5431,0.5619
0.8246,2.7423,0.5431,0.5619
0.8250,2.8575,0.5431,0.5619
0.8249,2.9726,0.5431,0.5619
0.8240,3.0878,0.5431,0.5619
0.8223,3.2029,0.5494,0.5556
0.8196,3.3180,0.5494,0.5556
0.8158,3.4331,0.5556,0.5494
0.8108,3.5481,0.5619,0.5494
0.8048,3.6631,0.5681,0.5431
0.7990,3.7781,0.5603,0.5369
0.7950,3.8932,0.5640,0.5306
0.7942,4.0084,0.5831,0.5306
0.7984,4.1234,0.6150,0.5369
0.8094,4.2380,0.6563,0.5494
0.8291,4.3514,0.7036,0.5775
0.8608,4.4621,0.7528,0.6090
0.9093,4.5663,0.7980,0.6575
0.9814,4.6555,0.8292,0.7297
