#{"t_start": 1789494789.018607, "env_id": "None"}
r,l,t
60.304369,116,3797.464886
62.796871,99,3803.515321
64.445218,97,3809.662652
63.543447,105,3816.340186
65.111093,103,3822.679489
66.161699,100,3828.866509
63.084867,103,3835.282333
67.832137,98,3841.494164
65.181027,91,3847.162595
64.48355,95,3853.337535
67.23664,80,3858.43182
66.180542,82,3863.879863
68.275906,72,3868.915443
64.456249,93,3874.684364
61.942773,108,3881.34691
65.46312,84,3886.614491
63.750873,96,3893.233804
67.570768,75,3898.11718
65.80608,93,3904.197954
64.494034,94,3909.88655
63.479831,93,3915.701492
69.383571,88,3921.248505
67.110849,103,3927.60173
67.328676,89,3933.198576
66.445224,95,3939.199402
64.165927,100,3945.448979
64.476748,105,3951.901675
65.067756,98,3957.999949
63.322026,98,3964.050219
64.168075,93,3969.816949
62.382226,99,3975.956228
57.770697,124,3983.36614
17.629012,45,3986.909457
65.94907,95,3992.987456
68.975784,74,3997.903617
67.259595,92,4003.869157
68.542192,89,4009.634868
60.332827,107,4016.187204
64.409991,88,4021.785868
61.433768,95,4027.637725
62.334238,94,4033.55107
59.312992,116,4040.634423
66.719152,84,4046.057807
66.647802,98,4052.271106
64.747011,98,4058.75188
62.467115,112,4065.688524
62.531485,97,4072.16055
68.138417,76,4077.187354
65.428588,95,4083.107534
64.152272,95,4088.902366
63.098064,99,4095.305352
-2.539278,37,4097.938651
61.892585,112,4105.005039
69.058726,70,4109.705262
71.271905,85,4115.940644
59.918884,120,4123.572223
65.388273,91,4129.655493
67.679552,77,4135.103013
60.582882,91,4140.573816
62.459321,107,4147.855855
60.824263,119,4155.004431
63.958423,98,4161.058947
66.045965,94,4166.859761
65.695823,96,4172.92488
62.682108,101,4179.859314
61.509961,88,4185.259088
66.9388,83,4191.006249
64.059364,97,4197.009352
64.630032,106,4203.441242
65.641734,88,4209.373645
66.9469,87,4214.81076
65.00068,94,4221.192253
64.398933,88,4226.858727
64.452316,88,4232.724567
65.108599,93,4238.4232
66.937801,103,4244.606456
60.65519,131,4252.492389
61.983113,109,4259.276402
60.418548,129,4266.976574
65.383989,96,4272.792578
68.539464,78,4277.776435
67.603599,77,4283.596645
64.679949,102,4290.027132
65.623662,102,4296.126168
62.982298,101,4302.244639
66.174437,94,4308.077205
63.596871,117,4315.426361
63.548144,94,4321.529483
36.107797,72,4326.374664
62.875375,100,4332.475697
64.704887,92,4338.226959
62.641115,104,4344.696495
65.689189,94,4350.429955
69.807363,87,4355.915259
62.114379,98,4361.926559
62.215417,121,4369.145837
61.626398,112,4376.461483
66.86626,87,4382.013066
65.242441,96,4387.962699
66.09966,103,4394.396836
65.031148,100,4400.828723
65.135663,112,4407.53338
64.787966,91,4413.266979
70.286487,86,4418.762341
70.494519,74,4423.51255
62.222398,76,4428.746346
64.266926,103,4435.014902
62.356966,99,4441.031416
70.584193,63,4446.047576
64.602921,104,4452.349262
61.948432,126,4459.796557
61.860627,123,4467.316256
64.430102,92,4473.399152
64.597008,105,4479.797965
66.814253,84,4485.247538
60.673725,120,4492.963187
65.074982,105,4499.647369
67.594132,83,4505.467084
68.176124,89,4511.103016
66.199671,82,4516.550044
69.866177,65,4521.0179
66.234017,79,4526.181943
64.315835,99,4532.434851
64.932109,90,4538.349604
65.39599,97,4544.47251
66.755877,73,4549.365033
63.87788,97,4555.387198
63.64619,106,4562.300796
66.969198,93,4568.171307
66.189199,92,4574.066736
66.651401,87,4579.520081
64.51151,107,4586.316506
62.487858,87,4592.282058
10.748776,45,4595.806022
61.249488,95,4602.101557
64.94169,105,4608.753908
65.815784,117,4615.800497
64.627256,89,4621.45198
67.831038,108,4628.1389
63.466529,104,4634.771013
63.588594,91,4640.38325
66.881252,99,4646.47011
62.951781,100,4652.587168
-16.992176,9,4654.07626
62.260068,118,4661.18412
66.379774,85,4666.519337
68.114144,93,4672.372688
64.397911,112,4679.270248
66.170516,95,4685.240046
66.657658,97,4691.370729
66.578041,95,4697.339415
64.019401,117,4704.471714
65.712298,105,4710.871736
65.892602,96,4717.122472
62.893187,100,4723.219581
66.360393,87,4728.771487
61.467844,120,4736.419516
63.621257,104,4742.924438
64.703659,109,4749.739542
63.554498,111,4756.656538
64.601338,109,4763.473547
58.897275,131,4771.624935
63.419821,99,4778.153872
64.720956,98,4784.108495
64.224894,112,4791.277139
66.404721,90,4797.409252
60.357488,114,4804.405522
64.070913,98,4811.730243
64.317563,102,4817.924009
42.315046,102,4824.819327
62.513097,116,4831.839429
66.133512,94,4837.625772
65.654131,107,4843.996673
67.347095,85,4849.325423
66.122768,106,4855.927846
65.226417,107,4862.473587
66.100206,99,4868.775646
64.940933,91,4874.808861
62.879168,100,4881.059293
65.33595,94,4887.207684
62.514292,113,4894.056494
62.67462,110,4901.058772
65.689411,100,4907.409914
56.379035,64,4912.313974
7.62263,42,4915.450986
65.531475,97,4922.065217
63.974463,103,4928.659129
67.636178,95,4934.809945
65.37876,73,4939.86067
63.85491,91,4945.660768
69.917004,92,4951.312105
66.978357,80,4957.031004
62.04211,100,4963.160136
65.514731,96,4969.129624
64.724314,97,4975.260002
67.708359,83,4980.578806
66.880779,88,4986.060796
68.450381,89,4991.579358
62.331842,121,4998.945247
61.682351,100,5005.215571
67.373049,100,5011.376514
67.275478,103,5017.812772
66.012609,107,5024.562463
63.289491,79,5029.762424
66.604909,90,5035.545326
69.257125,66,5040.279486
65.595246,106,5047.143978
66.273215,86,5052.76777
-0.073052,38,5055.63638
-15.487079,14,5057.398902
61.980922,105,5063.85025
64.45001,106,5070.411793
63.430189,119,5078.063869
67.725788,91,5084.032499
62.365333,99,5090.183448
65.186576,102,5096.751053
59.708708,123,5104.179287
64.983872,109,5111.38257
66.917474,90,5116.930954
61.235479,123,5124.781769
67.994511,92,5130.531752
59.893274,101,5137.051102
64.620234,101,5143.36588
64.230807,103,5149.997471
13.111628,37,5153.471437
66.003508,104,5159.980821
67.390079,89,5165.533314
65.755072,104,5171.914412
63.457185,109,5178.70162
68.255937,72,5183.735667
66.098002,114,5190.782053
64.651835,106,5197.55656
63.58424,105,5204.200915
58.479167,127,5212.03275
65.323943,93,5217.787056
67.503282,80,5222.834822
65.702679,101,5229.301198
65.151557,99,5235.335214
64.330751,93,5241.285727
67.863768,86,5246.737865
70.415353,68,5251.234052
67.726402,87,5256.858721
66.993149,83,5262.519163
66.566546,104,5269.30388
68.164892,79,5274.604463
64.8207,102,5281.403075
63.96159,101,5287.854815
63.545689,96,5294.104343
69.390104,77,5299.322572
64.893667,105,5306.172954
62.483697,100,5312.48507
64.987468,99,5319.020381
47.718155,85,5324.699624
62.130039,107,5332.169487
45.37187,90,5337.806098
66.989036,101,5344.487497
64.556626,114,5351.637835
63.155776,115,5358.507406
66.034477,113,5365.387328
68.195749,94,5371.057777
65.031803,86,5376.386551
65.202502,88,5382.062763
64.666691,105,5388.30392
67.729134,93,5394.00411
61.968937,107,5400.607509
65.572121,101,5406.854649
65.927918,101,5412.889433
65.369198,100,5418.972596
65.674519,92,5424.788645
65.753705,96,5430.806828
67.195112,95,5436.789296
65.333911,88,5442.440197
64.769028,114,5449.30797
60.473915,125,5457.192673
67.842284,100,5463.623569
65.558074,108,5470.207106
67.943885,87,5475.538486
-16.030081,18,5477.162526
64.045609,99,5483.355281
65.744971,95,5489.205368
62.121757,115,5496.142213
64.504408,104,5502.592367
62.659808,111,5509.690489
64.053801,106,5516.124488
67.342766,94,5522.024659
65.962188,100,5528.140861
66.862787,77,5533.525383
